City ID,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudy,Wind Speed
2214432,Nālūt,LY,30.3333,10.85,54.27,51,15,16.24
4032420,Neiafu,TO,-18.65,-173.9833,84.2,74,40,5.75
2206939,Bluff,NZ,-46.6,168.3333,73.0,44,44,17.0
2015306,Tiksi,RU,71.6872,128.8694,2.79,84,70,7.09
2163355,Hobart,AU,-42.8794,147.3294,63.28,27,0,17.27
5847411,Kahului,US,20.8947,-156.47,68.29,83,90,11.5
3372707,Ribeira Grande,PT,38.5167,-28.7,60.98,90,99,28.45
1651810,Airai,TL,-8.9266,125.4092,71.53,84,63,0.87
3598787,Champerico,GT,14.3,-91.9167,66.02,95,60,4.07
2015913,Suntar,RU,62.1444,117.6319,16.93,79,51,10.09
1568574,Qui Nhon,VN,13.7667,109.2333,79.68,70,3,13.58
5924351,Clyde River,CA,70.4692,-68.5914,-5.8,77,75,20.71
4030556,Rikitea,PF,-23.1203,-134.9692,80.29,74,43,9.8
3445026,Vila Velha,BR,-20.3297,-40.2925,73.71,88,20,2.3
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,84,90,9.22
2127060,Arman',RU,59.7,150.1667,9.07,72,0,3.53
3652764,Puerto Ayora,EC,-0.7393,-90.3518,75.0,94,99,1.99
778707,Mehamn,NO,71.0357,27.8492,22.12,86,100,7.11
2180815,Tuatapere,NZ,-46.1333,167.6833,73.0,44,72,17.0
672901,Moldoveni,RO,46.8333,26.7667,31.28,100,90,12.66
2121025,Srednekolymsk,RU,67.45,153.6833,-8.63,88,47,2.06
2729907,Longyearbyen,SJ,78.2186,15.6401,3.2,60,40,10.36
2110227,Butaritari,KI,3.0707,172.7902,81.0,80,84,12.06
2156643,Mount Gambier,AU,-37.8333,140.7667,62.6,42,75,14.97
5848280,Kapaa,US,22.0752,-159.319,69.75,88,90,23.02
2126493,Boshnyakovo,RU,49.6333,142.1667,33.91,98,57,4.94
3443061,Chui,UY,-33.6971,-53.4616,59.95,81,0,4.21
935215,Saint-Philippe,RE,-21.3585,55.7679,78.93,69,90,17.27
3423146,Ilulissat,GL,69.2167,-51.1,8.6,56,99,13.8
1171050,Mangla,PK,31.8931,72.3817,79.29,31,30,5.53
2038421,Bayan,CN,46.0833,127.4,39.31,92,15,7.25
3984997,San Quintín,MX,30.4833,-115.95,54.54,81,4,16.71
4032243,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05
5106841,Albany,US,42.6001,-73.9662,30.78,46,1,5.03
3080071,Złotów,PL,53.3635,17.0408,39.0,87,82,10.0
1490256,Talnakh,RU,69.4865,88.3972,-18.18,97,100,10.63
2022572,Khatanga,RU,71.9667,102.5,-15.61,88,94,14.99
2155415,New Norfolk,AU,-42.7826,147.0587,60.08,44,38,5.01
4787534,Sterling,US,39.0062,-77.4286,43.99,36,1,9.66
2447513,Arlit,NE,18.7369,7.3853,68.0,19,38,8.46
2644204,Livingston,GB,55.9029,-3.5226,38.77,75,0,12.66
3874787,Punta Arenas,CL,-53.15,-70.9167,42.39,65,0,3.44
3691954,Sechura,PE,-5.5569,-80.8222,77.16,71,69,11.23
2255542,Owando,CG,-0.4819,15.8999,70.63,97,75,2.48
1282256,Hithadhoo,MV,-0.6,73.0833,84.07,68,22,10.74
1259385,Port Blair,IN,11.6667,92.75,86.0,74,20,6.91
3628503,San Carlos,VE,9.6612,-68.5827,75.56,78,55,3.6
6185377,Yellowknife,CA,62.456,-114.3525,-0.13,85,90,9.22
5962442,Goderich,CA,43.7501,-81.7165,35.6,75,8,6.91
3366880,Hermanus,ZA,-34.4187,19.2345,63.0,95,99,6.29
