City ID,City,Country Code,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
5848280,Kapaa,US,22.0752,-159.319,72.61,88,90,25.32
3899539,Antofagasta,CL,-23.65,-70.4,69.8,73,20,6.91
1282256,Hithadhoo,MV,-0.6,73.0833,83.64,64,94,5.08
5503914,Fallon,US,39.4735,-118.7774,44.6,26,75,11.5
4726521,San Patricio,US,28.017,-97.5169,67.64,83,1,19.57
2191562,Dunedin,NZ,-45.8742,170.5036,57.63,83,100,1.01
4030556,Rikitea,PF,-23.1203,-134.9692,80.78,81,7,15.57
5122534,Jamestown,US,42.097,-79.2353,37.18,49,1,4.12
3354077,Opuwo,NA,-18.0607,13.84,64.08,35,96,1.86
6185377,Yellowknife,CA,62.456,-114.3525,-4.0,59,20,5.88
2163355,Hobart,AU,-42.8794,147.3294,67.33,42,20,10.36
3380290,Sinnamary,GF,5.3833,-52.95,76.89,86,100,10.29
2141714,Bourail,NC,-21.5667,165.4833,82.02,59,53,5.26
2015306,Tiksi,RU,71.6872,128.8694,-8.18,89,100,4.07
2075265,Busselton,AU,-33.65,115.3333,81.54,51,100,4.0
5855927,Hilo,US,19.7297,-155.09,68.29,94,90,5.75
964432,Port Alfred,ZA,-33.5906,26.891,66.99,78,0,1.99
3874787,Punta Arenas,CL,-53.15,-70.9167,51.4,76,40,5.75
2110227,Butaritari,KI,3.0707,172.7902,81.68,73,100,8.63
4323873,Estelle,US,29.8458,-90.1067,62.53,94,40,8.05
3369157,Cape Town,ZA,-33.9258,18.4232,66.29,94,90,19.57
4256085,Connersville,US,39.6412,-85.1411,50.49,53,0,8.75
4035715,Avarua,CK,-21.2078,-159.775,80.6,83,75,4.61
3698359,Chicama,PE,-7.8447,-79.1469,75.38,69,100,3.29
3397967,Itaituba,BR,-4.2761,-55.9836,75.2,94,75,0.58
4020109,Atuona,PF,-9.8,-139.0333,79.95,75,30,18.05
3418910,Upernavik,GL,72.7868,-56.1549,10.56,84,100,3.0
2112802,Hasaki,JP,35.7333,140.8333,62.24,34,20,14.97
1512223,Abalak,RU,58.1286,68.5944,-3.91,93,76,3.83
3832791,Villa Carlos Paz,AR,-31.4241,-64.4978,70.54,81,0,1.99
2146219,Hervey Bay,AU,-25.2986,152.8535,88.65,51,40,11.5
5924351,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,18.41
3831208,Qaanaaq,GL,77.484,-69.3632,3.25,81,56,3.58
6160806,Sylvan Lake,CA,52.3168,-114.0853,31.89,80,1,9.22
4032243,Vaini,TO,-21.2,-175.2,82.4,57,20,14.97
1486321,Yar-Sale,RU,66.8333,70.8333,-23.51,85,85,7.09
3470137,Belmonte,BR,-15.8631,-38.8828,75.2,78,0,4.61
4100525,Batesville,US,35.7698,-91.641,61.54,55,1,5.75
2094342,Kavieng,PG,-2.5744,150.7967,84.65,68,92,12.03
5044290,Saint Anthony,US,45.0205,-93.218,54.19,71,1,9.22
3421319,Nuuk,GL,64.1835,-51.7216,22.01,80,90,3.44
1006984,East London,ZA,-33.0153,27.9116,71.51,56,0,4.52
2027042,Batagay-Alyta,RU,67.8006,130.4114,1.74,85,100,5.41
3395458,Maragogi,BR,-9.0122,-35.2225,79.03,84,35,9.46
3833367,Ushuaia,AR,-54.8,-68.3,59.0,51,40,6.4
1507390,Dikson,RU,73.5069,80.5464,-23.58,88,100,7.05
6201424,Mataura,NZ,-46.1927,168.8643,59.0,76,100,14.0
1714733,Dingle,PH,10.9995,122.6711,82.4,68,46,15.64
2022572,Khatanga,RU,71.9667,102.5,-23.31,85,100,14.79
1529484,Kumul,CN,42.8,93.45,48.54,46,50,6.49
1524606,Derzhavīnsk,KZ,51.1,66.3167,12.97,96,99,5.88
1488903,Turukhansk,RU,65.8167,87.9833,-24.84,86,100,4.5
3176748,Forio,IT,40.7342,13.8646,49.93,91,100,11.01
3437443,Pozo Colorado,PY,-23.4923,-58.7972,75.2,46,0,5.57
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,80.6,74,75,6.91
2206939,Bluff,NZ,-46.6,168.3333,59.0,76,79,14.0
3420846,Qaqortoq,GL,60.7167,-46.0333,23.0,54,75,5.75
3662342,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,73.0,97,100,2.26
515879,Oktyabr'skiy,RU,54.4815,53.471,7.11,95,100,5.88
1252783,Yārāda,IN,17.65,83.2667,77.0,88,20,4.61
1698289,Pundaguitan,PH,6.3711,126.1689,78.85,83,100,7.45
3393692,Itarema,BR,-2.9248,-39.9167,78.89,84,95,9.62
2259655,Impfondo,CG,1.6381,18.0667,73.09,67,93,2.53
3985710,Cabo San Lucas,MX,22.8909,-109.9124,74.7,46,75,12.84
5983607,Inuvik,CA,68.3499,-133.7218,8.6,72,59,4.61
2036338,Kaitong,CN,44.8135,123.15,40.44,48,48,16.49
3393106,Paragominas,BR,-2.9667,-47.4833,72.09,98,100,2.57
3994863,Nombre de Dios,MX,23.85,-104.2333,71.6,6,75,11.5
964420,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,5.75
1161724,Chabahar,IR,25.2919,60.643,70.03,78,0,8.28
3372707,Ribeira Grande,PT,38.5167,-28.7,60.96,88,99,16.82
2094746,Kandrian,PG,-6.2167,149.55,83.84,75,59,6.29
4031574,Provideniya,RU,64.3833,-173.3,-9.4,77,0,17.9
779622,Havøysund,NO,70.9963,24.6622,12.2,67,0,9.35
2136825,Isangel,VU,-19.55,169.2667,81.54,63,3,11.21
2618795,Klaksvík,FO,62.2266,-6.589,44.6,81,90,33.38
1804153,Leshan,CN,29.5623,103.7639,56.16,74,100,3.36
2312895,Mbandaka,CD,0.0487,18.2603,74.16,71,55,3.53
4036284,Alofi,NU,-19.0595,-169.9187,80.6,69,75,14.97
3661944,Tefé,BR,-3.3542,-64.7114,72.57,98,98,2.46
5106841,Albany,US,42.6001,-73.9662,36.48,70,20,4.61
2208248,Kaitangata,NZ,-46.2817,169.8464,60.01,81,100,8.01
2014624,Udachny,RU,66.4167,112.4,-2.09,88,97,19.82
2394560,Djougou,BJ,9.7085,1.666,77.86,69,100,8.05
1517637,Ushtobe,KZ,45.2514,77.9838,36.97,77,88,9.89
3691094,Uchiza,PE,-8.4592,-76.4633,71.53,85,100,0.85
608036,Temir,KZ,49.1414,57.13,23.45,96,100,21.54
546105,Nikolskoye,RU,59.7035,30.7861,-4.34,71,0,8.95
3361934,Saldanha,ZA,-33.0117,17.9442,62.6,94,100,17.27
3466704,Castro,BR,-24.7911,-50.0119,56.35,92,4,3.36
877631,Namikupa,TZ,-10.8333,39.6,72.36,97,100,2.82
3366880,Hermanus,ZA,-34.4187,19.2345,63.0,96,94,15.01
6162949,Terrace,CA,54.5163,-128.6035,41.0,45,20,11.5
2638419,Scarborough,GB,54.2797,-0.4044,40.6,90,100,10.0
5374376,Monterey,US,36.2505,-121.2516,35.98,94,51,3.74
2126199,Cherskiy,RU,68.75,161.3,-6.38,90,100,12.26
1717787,Catuday,PH,16.2923,119.8062,80.87,63,0,11.25
2017155,Saskylakh,RU,71.9167,114.0833,-24.59,83,95,12.68
1162634,Wana,PK,32.2989,69.5725,52.02,52,0,0.92
4465088,Elizabeth City,US,36.2946,-76.2511,53.42,54,1,9.22
3430863,Mar del Plata,AR,-38.0023,-57.5575,63.79,82,40,4.61
485660,Tsimmerbude,RU,54.675,20.1347,23.52,74,0,4.47
1512218,Aban,RU,56.67,96.06,13.08,94,23,8.7
1106677,Bambous Virieux,MU,-20.3428,57.7575,75.56,88,75,8.32
3452640,Porto Seguro,BR,-16.4497,-39.0647,75.2,78,0,4.61
3674676,Mitú,CO,1.1983,-70.1733,71.91,97,100,1.63
4034551,Faanui,PF,-16.4833,-151.75,82.54,72,91,12.59
2028164,Deputatsky,RU,69.3,139.9,-5.31,88,100,3.06
6149996,Smithers,CA,54.7804,-127.1743,33.8,60,20,8.05
3984997,San Quintín,MX,30.4833,-115.95,56.3,68,0,20.13
2125693,Evensk,RU,61.95,159.2333,-9.83,84,100,3.4
2381334,Atar,MR,20.5169,-13.0499,61.18,40,96,11.72
5282297,Bethel,US,41.3712,-73.414,38.28,65,1,3.78
935215,Saint-Philippe,RE,-21.3585,55.7679,70.66,64,20,5.75
5546220,Saint George,US,37.1041,-113.5841,54.84,14,1,13.8
1649150,Bengkulu,ID,-3.8004,102.2655,82.27,69,42,2.82
1712961,Gigmoto,PH,13.7796,124.39,82.62,65,25,14.32
2629833,Husavik,IS,66.0449,-17.3389,30.2,86,90,14.97
2121385,Severo-Kuril'sk,RU,50.6789,156.125,31.68,95,99,16.15
3623601,Guácimo,CR,10.2104,-83.6807,69.4,60,0,17.27
3447423,Soledade,BR,-28.8183,-52.5103,57.49,98,2,5.82
2068655,Katherine,AU,-14.4667,132.2667,87.8,62,79,5.75
4031637,Lavrentiya,RU,65.5833,-171.0,-8.7,84,13,10.2
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,71,75,16.11
3381041,Mana,GF,5.6592,-53.7767,76.6,87,92,8.99
5866583,Saint Paul Harbor,US,57.79,-152.4072,39.2,81,90,6.91
4013679,Coahuayana Viejo,MX,18.7333,-103.6833,75.2,53,75,8.05
3671387,Puerto Nariño,CO,-3.7703,-70.3831,73.4,100,40,2.3
3466752,Cássia,BR,-20.5831,-46.9219,65.62,90,72,1.74
5600685,Meridian,US,43.6121,-116.3915,43.97,34,20,6.53
2145554,Ulladulla,AU,-35.35,150.4667,70.84,60,75,9.22
2264557,Ponta do Sol,PT,32.6667,-17.1,50.92,58,0,5.01
2122090,Pevek,RU,69.7008,170.3133,-12.41,86,100,11.3
1267390,Kavaratti,IN,10.5669,72.642,82.92,71,88,7.45
542464,Krasnoarmeysk,RU,51.0239,45.6969,5.77,64,55,5.99
5880054,Barrow,US,71.2906,-156.7887,14.0,48,1,14.97
1863997,Fukuechō,JP,32.6881,128.8419,60.8,55,20,11.5
2012530,Zhigansk,RU,66.7697,123.3711,8.37,94,100,23.22
3163146,Andenes,NO,69.3143,16.1194,22.69,68,100,13.8
2271968,Aljezur,PT,37.3191,-8.8033,48.47,77,71,7.0
2417988,Macenta,GN,8.5435,-9.471,68.54,93,100,0.92
1566346,Thai Binh,VN,20.45,106.3333,75.2,83,0,8.05
1797945,Qingyuan,CN,23.7,113.0333,69.03,73,75,4.47
